domain,project,BEASS2_ID
technology,m2e,477893
technology,m2e,436679
technology,m2e,394696
technology,m2e,481480
technology,m2e,492233
technology,m2e,337355
technology,m2e,350414
technology,m2e,350161
technology,m2e,404178
technology,m2e,377813
technology,m2e,440790
technology,m2e,449495
technology,m2e,356568
technology,m2e,417241
technology,m2e,458969
technology,m2e,482521
technology,m2e,348893
modeling,ocl,380221
modeling,ocl,167266
modeling,ocl,159715
modeling,ocl,446302
modeling,ocl,411228
modeling,ocl,308327
modeling,ocl,447693
modeling,ocl,478953
modeling,ocl,203116
modeling,ocl,382956
modeling,ocl,281710
modeling,ocl,291310
modeling,ocl,462310
modeling,ocl,184689
modeling,ocl,136817
modeling,ocl,184691
modeling,ocl,183667
modeling,ocl,211572
modeling,ocl,343286
modeling,ocl,183671
modeling,ocl,234354
modeling,ocl,500089
modeling,ocl,192506
modeling,ocl,470034
modeling,ocl,162300
modeling,ocl,362620
modeling,ocl,364797
modeling,ocl,323324
modeling,ocl,447615
modeling,ocl,450177
modeling,ocl,318076
modeling,ocl,207365
modeling,ocl,387973
modeling,ocl,168711
modeling,ocl,339464
modeling,ocl,360072
modeling,ocl,404876
modeling,ocl,427020
modeling,ocl,164494
modeling,ocl,468876
modeling,ocl,427024
modeling,ocl,474307
modeling,ocl,411154
modeling,ocl,149011
modeling,ocl,366229
modeling,ocl,167446
modeling,ocl,458774
modeling,ocl,471114
modeling,ocl,472086
modeling,ocl,116251
modeling,ocl,438556
modeling,ocl,258973
modeling,ocl,189981
modeling,ocl,450204
modeling,ocl,299168
modeling,ocl,193953
modeling,ocl,198945
modeling,ocl,415389
modeling,ocl,340257
modeling,ocl,449827
modeling,ocl,370087
modeling,ocl,181416
modeling,ocl,208810
modeling,ocl,219051
modeling,ocl,208812
modeling,ocl,290605
modeling,ocl,350893
modeling,ocl,283052
modeling,ocl,401953
modeling,ocl,182193
modeling,ocl,189746
modeling,ocl,159795
modeling,ocl,191027
modeling,ocl,133045
modeling,ocl,288566
modeling,ocl,368566
modeling,ocl,152632
modeling,ocl,333241
modeling,ocl,114106
modeling,ocl,140347
modeling,ocl,325912
modeling,ocl,372531
modeling,ocl,341944
modeling,ocl,407216
modeling,ocl,403627
modeling,ocl,452162
modeling,ocl,404660
modeling,ocl,409667
modeling,ocl,426929
modeling,ocl,154695
modeling,ocl,356680
modeling,ocl,233673
modeling,ocl,339783
modeling,ocl,369355
modeling,ocl,282700
modeling,ocl,310349
modeling,ocl,177998
modeling,ocl,154575
modeling,ocl,308944
modeling,ocl,367822
modeling,ocl,184527
modeling,ocl,381901
modeling,ocl,390090
modeling,ocl,178901
modeling,ocl,479445
modeling,ocl,410321
modeling,ocl,221016
modeling,ocl,192729
modeling,ocl,412120
modeling,ocl,113884
modeling,ocl,122333
modeling,ocl,394057
modeling,ocl,402780
modeling,ocl,163808
modeling,mdt.rmf,413028
modeling,mdt.rmf,413029
modeling,mdt.rmf,392293
modeling,mdt.rmf,464612
modeling,mdt.rmf,392296
modeling,mdt.rmf,397672
modeling,mdt.rmf,383466
modeling,mdt.rmf,469356
modeling,mdt.rmf,372461
modeling,mdt.rmf,397550
modeling,mdt.rmf,379503
modeling,mdt.rmf,418160
modeling,mdt.rmf,381169
modeling,mdt.rmf,423407
modeling,mdt.rmf,374515
modeling,mdt.rmf,418165
modeling,mdt.rmf,390006
modeling,mdt.rmf,468333
modeling,mdt.rmf,374520
modeling,mdt.rmf,420591
modeling,mdt.rmf,367867
modeling,mdt.rmf,420475
modeling,mdt.rmf,374525
modeling,mdt.rmf,379645
modeling,mdt.rmf,368127
modeling,mdt.rmf,385280
modeling,mdt.rmf,368254
modeling,mdt.rmf,371330
modeling,mdt.rmf,371715
modeling,mdt.rmf,417155
modeling,mdt.rmf,397186
modeling,mdt.rmf,399622
modeling,mdt.rmf,388223
modeling,mdt.rmf,398986
modeling,mdt.rmf,377227
modeling,mdt.rmf,381691
modeling,mdt.rmf,409980
modeling,mdt.rmf,377876
modeling,mdt.rmf,388117
modeling,mdt.rmf,400149
modeling,mdt.rmf,423291
modeling,mdt.rmf,406424
modeling,mdt.rmf,368025
modeling,mdt.rmf,399899
modeling,mdt.rmf,399900
modeling,mdt.rmf,399901
modeling,mdt.rmf,422942
modeling,mdt.rmf,400287
modeling,mdt.rmf,424309
modeling,mdt.rmf,472725
modeling,mdt.rmf,368037
modeling,mdt.rmf,374181
modeling,mdt.rmf,402342
modeling,mdt.rmf,382373
modeling,mdt.rmf,422953
modeling,mdt.rmf,377386
modeling,mdt.rmf,397228
modeling,mdt.rmf,374189
modeling,mdt.rmf,369069
modeling,mdt.rmf,393006
modeling,mdt.rmf,367917
modeling,mdt.rmf,367793
modeling,mdt.rmf,369457
modeling,mdt.rmf,409265
modeling,mdt.rmf,422959
