component,os,priority,hardware,version,component,severity,assignee,product,status,total
datasource-relational,0,0,0,0,0,1,0,0,0,3
userassistance,57,177,28,124,107,159,0,16,0,4987
contenttranslation,0,0,0,0,0,0,0,0,0,15
http2,2,0,1,2,0,5,0,0,0,98
bidilayout,0,0,0,0,0,0,0,0,0,2
gefgraph,1,0,1,1,0,0,0,0,0,25
commandlinetools,0,0,0,1,0,0,0,0,0,5
table,20,4,21,15,14,25,0,0,0,364
deployment,2,3,2,6,5,5,0,0,0,124
xtexterrors,0,0,0,13,1,0,0,0,0,213
photran.managedmake,0,8,0,8,7,2,0,6,0,61
fastcgi,0,0,0,2,0,0,0,0,0,16
releaseengineering,2,1,2,9,4,5,0,2,0,70
composer,0,0,0,1,0,0,0,0,0,50
outlineviews,4,21,2,20,8,16,0,0,0,402
gef-legacydraw2d,19,28,16,22,13,42,0,7,0,946
gefcommon,1,0,1,0,1,0,0,0,0,15
mylyn,1,1,0,1,1,7,0,0,0,77
prototype,2,7,2,3,1,3,0,1,0,156
sdkmanagement,3,5,3,1,13,8,0,0,0,65
cdt-build,13,7,6,76,81,74,0,9,0,1745
modeling-package,1,0,0,1,2,3,0,1,0,54
cdt-debug-cdi-gdb,3,2,0,6,117,8,0,2,0,294
framework,32,39,12,75,45,83,0,28,0,2165
testharness,0,0,0,0,1,0,0,0,0,9
luadevelopmenttools,12,85,9,27,1,62,0,0,0,483
org.eclipse.soa.mangrove.core,0,0,0,0,0,0,0,0,0,2
report,5,45,1,21,51,59,0,2,0,996
bootstrapper,0,0,0,0,0,0,0,0,0,54
ecf.examples,2,0,2,6,0,3,0,0,0,126
signing,1,1,1,9,2,5,0,1,0,136
modelworkspace,0,15,0,1,0,0,0,0,0,65
sbvr,0,0,0,0,0,1,0,0,0,4
transaction,0,18,0,39,65,9,0,63,0,429
wizards,1,0,1,1,0,0,0,0,0,3
codeformatter,15,16,10,14,3,21,0,0,0,601
creverser,0,0,0,1,0,2,0,0,0,13
ecf.newsreader,0,0,0,0,0,2,0,0,0,22
am3,0,0,0,0,3,0,0,2,0,13
annotations,0,7,0,0,3,7,0,0,0,325
main,10,420,8,36,3,80,0,0,0,1071
m2xideintegration,4,0,3,1,5,0,0,0,0,19
platforms,1,5,0,0,2,1,0,0,0,84
importing,0,0,0,1,1,2,0,0,0,7
web-admin,0,0,0,2,3,11,0,0,0,85
ucum,0,1,0,0,0,1,0,0,0,4
databinding,2,0,0,3,0,0,0,0,0,25
cdt-releng,1,30,1,6,8,2,0,0,0,211
weaving,0,0,1,2,11,0,0,0,0,38
yearlyrelease,0,25,0,1,19,2,0,0,0,114
compendium,10,3,7,27,40,30,0,9,0,771
www,0,0,0,0,0,0,0,0,0,22
websocket,3,0,2,8,2,9,0,0,0,257
pdesupport,17,0,15,1,4,9,0,0,0,377
dsl-package,0,0,0,1,1,0,0,0,0,12
communication,0,2,0,1,0,2,0,0,0,62
