domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,viatra,min,0,0,0,0,0,0,0,8,0,1037
modeling,viatra,max,37,183,0,1650,1815,128,0,1815,0,1037
technology,egit,avg,244,1,249,178,146,226,0,40,0,4085
technology,egit,min,0,0,0,0,0,0,0,0,0,4085
technology,egit,max,1953,1,1953,704,879,1953,0,218,0,4085
technology,eclemma,avg,1,0,1,0,0,1,0,0,0,20
technology,eclemma,min,0,0,0,0,0,1,0,0,0,20
technology,eclemma,max,1,0,1,0,0,1,0,0,0,20
modeling,emft.henshin,avg,0,0,0,0,0,0,0,0,0,90
modeling,emft.henshin,min,0,0,0,0,0,0,0,0,0,90
modeling,emft.henshin,max,0,0,0,0,0,0,0,0,0,90
soa,bpmn2modeler,avg,0,338,0,412,31,139,0,0,0,705
soa,bpmn2modeler,min,0,0,0,0,0,0,0,0,0,705
soa,bpmn2modeler,max,0,1384,0,1418,61,1384,0,0,0,705
modeling,eatop,avg,0,0,0,0,124,0,0,0,0,34
modeling,eatop,min,0,0,0,0,124,0,0,0,0,34
modeling,eatop,max,0,0,0,0,124,0,0,0,0,34
rt,smila,avg,168,176,170,140,465,141,0,0,0,216
rt,smila,min,0,0,0,0,0,0,0,0,0,216
rt,smila,max,340,347,340,340,1168,347,0,0,0,216
modeling,efm,avg,0,0,0,0,21,56,0,0,0,23
modeling,efm,min,0,0,0,0,21,56,0,0,0,23
modeling,efm,max,0,0,0,0,21,56,0,0,0,23
technology,nattable,avg,92,0,92,1,25,135,0,0,0,743
technology,nattable,min,0,0,0,0,0,0,0,0,0,743
technology,nattable,max,183,0,183,1,73,366,0,0,0,743
technology,subversive,avg,82,198,104,270,496,78,0,7,0,2591
technology,subversive,min,0,0,0,0,0,0,0,0,0,2591
technology,subversive,max,308,611,308,2532,2532,689,0,21,0,2591
rt,gemini,avg,0,0,0,0,0,0,0,0,0,5
rt,gemini,min,0,0,0,0,0,0,0,0,0,5
rt,gemini,max,0,0,0,0,0,0,0,0,0,5
technology,jgit,avg,167,15,143,196,24,102,0,26,0,991
technology,jgit,min,0,0,0,0,0,0,0,0,0,991
technology,jgit,max,704,29,704,805,76,496,0,76,0,991
technology,rcptt,avg,0,8,0,87,20,14,0,0,0,254
technology,rcptt,min,0,1,0,0,0,0,0,0,0,254
technology,rcptt,max,0,14,0,209,38,49,0,0,0,254
webtools,libra,avg,0,0,0,48,133,2,0,151,0,152
webtools,libra,min,0,0,0,0,0,0,0,21,0,152
webtools,libra,max,0,0,0,170,198,6,0,180,0,152
modeling,gendoc,avg,0,0,0,9,1,70,0,0,0,106
modeling,gendoc,min,0,0,0,0,0,0,0,0,0,106
modeling,gendoc,max,0,0,0,23,1,174,0,0,0,106
modeling,mdt,avg,0,10,0,36,12,80,0,11,0,114
modeling,mdt,min,0,0,0,0,0,0,0,0,0,114
modeling,mdt,max,0,29,0,115,28,196,0,28,0,114
modeling,emf,avg,146,556,76,904,1204,152,0,2513,0,8029
modeling,emf,min,0,0,0,0,0,0,0,0,0,8029
modeling,emf,max,441,2223,441,4064,4082,3417,0,4082,0,8029
technology,vtp,avg,37,0,37,53,3,79,0,0,0,259
technology,vtp,min,0,0,0,0,0,0,0,0,0,259
technology,vtp,max,106,0,106,106,5,203,0,0,0,259
rt,gyrex,avg,56,0,59,190,0,36,0,0,0,157
rt,gyrex,min,16,0,16,6,0,0,0,0,0,157
rt,gyrex,max,121,0,121,344,0,121,0,0,0,157
tools,cdt,avg,259,159,365,347,1032,200,0,409,0,19331
tools,cdt,min,0,0,0,0,0,0,0,0,0,19331
tools,cdt,max,1978,2775,2699,2557,2552,3161,0,2166,0,19331
modeling,amp,avg,328,793,4,133,0,625,0,0,0,171
modeling,amp,min,0,0,0,0,0,0,0,0,0,171
modeling,amp,max,1302,1633,10,526,0,1533,0,0,0,171
technology,rtp,avg,0,0,0,0,0,0,0,0,0,77
technology,rtp,min,0,0,0,0,0,0,0,0,0,77
technology,rtp,max,0,0,0,0,0,0,0,0,0,77
modeling,eef,avg,5,0,5,1743,1679,158,0,1679,0,330
modeling,eef,min,0,0,0,0,15,0,0,15,0,330
modeling,eef,max,13,0,13,2381,2547,627,0,2547,0,330
modeling,emft.b3,avg,25,33,12,0,166,141,0,332,0,140
modeling,emft.b3,min,0,0,0,0,0,0,0,332,0,140
modeling,emft.b3,max,69,69,24,0,332,254,0,332,0,140
modeling,capra,avg,0,0,0,0,19,0,0,0,0,46
modeling,capra,min,0,0,0,0,0,0,0,0,0,46
modeling,capra,max,0,0,0,0,35,0,0,0,0,46
rt,gemini.jpa,avg,163,279,84,133,73,140,0,69,0,126
rt,gemini.jpa,min,0,279,0,0,0,0,0,0,0,126
rt,gemini.jpa,max,322,279,167,274,219,279,0,219,0,126
technology,sisu,avg,0,4,0,217,11,8,0,0,0,130
technology,sisu,min,0,0,0,0,6,8,0,0,0,130
technology,sisu,max,0,8,0,647,15,8,0,0,0,130
tools,orbit,avg,113,51,141,0,312,58,0,518,0,1033
tools,orbit,min,0,0,0,0,4,0,0,4,0,1033
tools,orbit,max,252,202,252,0,1484,202,0,1484,0,1033
tools,titan,avg,0,0,0,0,0,0,0,0,0,183
tools,titan,min,0,0,0,0,0,0,0,0,0,183
tools,titan,max,0,0,0,0,0,0,0,0,0,183
technology,sapphire,avg,22,0,22,21,3,29,0,0,0,1189
technology,sapphire,min,0,0,0,0,0,0,0,0,0,1189
technology,sapphire,max,96,0,96,90,7,106,0,0,0,1189
tools,gef,avg,972,115,1164,72,2319,166,0,108,0,2950
tools,gef,min,0,0,0,0,0,0,0,0,0,2950
tools,gef,max,2337,674,2337,346,4599,1267,0,393,0,2950
tools,oomph,avg,10,37,12,251,58,69,0,65,0,1438
tools,oomph,min,0,0,0,0,0,0,0,0,0,1438
tools,oomph,max,31,109,31,758,108,498,0,108,0,1438
technology,scout,avg,35,31,36,102,3,114,0,0,0,1912
technology,scout,min,0,0,0,0,0,0,0,0,0,1912
technology,scout,max,162,76,162,594,5,448,0,0,0,1912
rt,ecf,avg,113,9,124,148,142,279,0,14,0,1944
rt,ecf,min,0,0,0,0,0,0,0,0,0,1944
rt,ecf,max,1192,29,1192,839,728,1809,0,26,0,1944
technology,babel,avg,0,53,0,154,86,200,0,139,0,653
technology,babel,min,0,0,0,0,0,0,0,0,0,653
technology,babel,max,0,182,0,603,603,2032,0,603,0,653
technology,mpc,avg,168,7,210,240,6,15,0,6,0,596
technology,mpc,min,0,0,31,0,0,0,0,0,0,596
technology,mpc,max,613,17,613,686,17,69,0,17,0,596
ecd,che,avg,0,0,0,0,0,0,0,0,0,22
ecd,che,min,0,0,0,0,0,0,0,0,0,22
ecd,che,max,0,0,0,0,0,0,0,0,0,22
technology,efxclipse,avg,0,0,0,1,27,4,0,0,0,1092
technology,efxclipse,min,0,0,0,0,0,0,0,0,0,1092
technology,efxclipse,max,0,0,0,2,75,8,0,0,0,1092
tools,tracecompass,avg,0,0,0,347,347,169,0,354,0,500
tools,tracecompass,min,0,0,0,0,36,0,0,84,0,500
tools,tracecompass,max,0,0,0,658,658,452,0,658,0,500
technology,epf,avg,142,359,114,64,37,76,0,197,0,3064
technology,epf,min,0,0,0,0,0,0,0,197,0,3064
technology,epf,max,311,1230,311,283,197,292,0,197,0,3064
rt,apricot,avg,0,0,0,0,0,0,0,0,0,14
rt,apricot,min,0,0,0,0,0,0,0,0,0,14
rt,apricot,max,0,0,0,0,0,0,0,0,0,14
technology,osee,avg,193,15,187,122,2,27,0,4,0,355
technology,osee,min,0,2,0,0,0,0,0,4,0,355
technology,osee,max,676,27,676,437,4,84,0,4,0,355
eclipse,jdt,avg,394,452,430,174,160,258,0,106,0,55279
eclipse,jdt,min,0,0,0,0,0,0,0,0,0,55279
eclipse,jdt,max,2896,3465,2896,1265,1421,2572,0,1421,0,55279
modeling,emf.parsley,avg,0,0,0,0,5,0,0,0,0,142
modeling,emf.parsley,min,0,0,0,0,0,0,0,0,0,142
modeling,emf.parsley,max,0,0,0,0,11,0,0,0,0,142
technology,handly,avg,0,0,1,0,0,0,0,0,0,142
technology,handly,min,0,0,1,0,0,0,0,0,0,142
technology,handly,max,0,0,1,0,0,0,0,0,0,142
technology,recommenders.incubator,avg,3,3,3,37,837,3,0,837,0,225
technology,recommenders.incubator,min,0,0,0,0,837,0,0,837,0,225
technology,recommenders.incubator,max,5,5,5,127,837,5,0,837,0,225
mylyn,mylyn,avg,147,250,66,210,194,240,0,70,0,8422
mylyn,mylyn,min,0,0,0,0,0,0,0,0,0,8422
mylyn,mylyn,max,613,1850,351,720,1318,1679,0,242,0,8422
tools,atf,avg,125,93,0,65,35,305,0,65,0,493
tools,atf,min,0,0,0,0,0,0,0,0,0,493
tools,atf,max,372,681,0,130,130,1116,0,130,0,493
tools,aspectj,avg,206,554,5,91,140,146,0,100,0,2884
tools,aspectj,min,0,0,1,0,0,0,0,0,0,2884
tools,aspectj,max,461,2413,12,970,970,768,0,970,0,2884
modeling,modeling,avg,0,242,34,151,127,120,0,127,0,217
modeling,modeling,min,0,126,34,0,0,0,0,0,0,217
modeling,modeling,max,0,358,34,448,448,406,0,448,0,217
modeling,emft.refactor,avg,0,0,0,0,1,0,0,0,0,20
modeling,emft.refactor,min,0,0,0,0,1,0,0,0,0,20
modeling,emft.refactor,max,0,0,0,0,1,0,0,0,0,20
soa,bpel,avg,0,404,0,225,1,84,0,0,0,376
soa,bpel,min,0,0,0,0,0,0,0,0,0,376
soa,bpel,max,0,1139,0,548,1,331,0,0,0,376
technology,egerrit,avg,0,0,0,0,0,35,0,0,0,394
technology,egerrit,min,0,0,0,0,0,0,0,0,0,394
technology,egerrit,max,0,0,0,0,0,344,0,0,0,394
technology,dash,avg,267,394,4,0,212,68,0,203,0,199
technology,dash,min,0,0,0,0,166,0,0,203,0,199
technology,dash,max,464,1252,8,0,309,196,0,203,0,199
technology,swtbot,avg,163,18,176,143,410,322,0,4,0,524
technology,swtbot,min,0,0,0,0,0,0,0,4,0,524
technology,swtbot,max,1180,35,1180,1180,1483,1553,0,4,0,524
tools,tools,avg,0,0,0,0,0,0,0,0,0,9
tools,tools,min,0,0,0,0,0,0,0,0,0,9
tools,tools,max,0,0,0,0,0,0,0,0,0,9
technology,app4mc,avg,0,0,0,0,0,0,0,0,0,47
technology,app4mc,min,0,0,0,0,0,0,0,0,0,47
technology,app4mc,max,0,0,0,0,0,0,0,0,0,47
rt,equinox,avg,219,80,255,120,251,288,0,103,0,13046
rt,equinox,min,0,0,0,0,0,0,0,0,0,13046
rt,equinox,max,1658,463,1658,711,928,1730,0,363,0,13046
modeling,m2t,avg,345,260,33,251,48,130,0,57,0,1059
modeling,m2t,min,0,0,0,0,0,0,0,0,0,1059
modeling,m2t,max,1282,1257,97,1354,109,612,0,109,0,1059
technology,tycho,avg,112,49,133,76,84,87,0,0,0,1060
technology,tycho,min,0,0,0,0,1,0,0,0,0,1060
technology,tycho,max,922,118,1253,719,192,857,0,0,0,1060
iot,scada,avg,9,227,0,168,0,27,0,0,0,101
iot,scada,min,0,0,0,0,0,0,0,0,0,101
iot,scada,max,17,454,0,653,0,99,0,0,0,101
tools,thym,avg,0,0,0,5,0,182,0,0,0,130
tools,thym,min,0,0,0,0,0,0,0,0,0,130
tools,thym,max,0,0,0,10,0,564,0,0,0,130
tools,mtj,avg,41,63,46,50,49,53,0,1,0,744
tools,mtj,min,0,0,0,0,0,0,0,1,0,744
tools,mtj,max,147,412,132,239,373,405,0,1,0,744
modeling,mdht,avg,0,0,0,0,0,0,0,0,0,29
modeling,mdht,min,0,0,0,0,0,0,0,0,0,29
modeling,mdht,max,0,0,0,0,0,0,0,0,0,29
modeling,edapt,avg,0,408,0,472,491,441,0,0,0,125
modeling,edapt,min,0,0,0,0,14,0,0,0,0,125
modeling,edapt,max,0,1214,0,1011,1047,1065,0,0,0,125
technology,jubula,avg,97,124,125,158,35,102,0,0,0,2030
technology,jubula,min,0,0,0,0,0,0,0,0,0,2030
technology,jubula,max,565,644,565,565,105,478,0,0,0,2030
technology,usssdk,avg,0,0,0,92,3,1,0,0,0,7
technology,usssdk,min,0,0,0,1,3,1,0,0,0,7
technology,usssdk,max,0,0,0,226,3,1,0,0,0,7
modeling,emf.egf,avg,0,0,0,154,0,0,0,0,0,191
