domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
mylyn,mylyndocs,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocs,max,0,0,0,0,0,0,0,0,0,0
iot,wakaama,avg,0,0,0,0,0,0,0,0,0,10
iot,wakaama,min,0,0,0,0,0,0,0,0,0,10
iot,wakaama,max,0,0,0,0,0,0,0,0,0,10
modeling,elk,avg,0,0,0,0,0,0,0,0,0,3
modeling,elk,min,0,0,0,0,0,0,0,0,0,3
modeling,elk,max,0,0,0,0,0,0,0,0,0,3
soa,bpel,avg,0,404,0,225,1,84,0,0,0,376
soa,bpel,min,0,0,0,0,0,0,0,0,0,376
soa,bpel,max,0,1139,0,548,1,331,0,0,0,376
technology,egerrit,avg,0,0,0,0,0,40,0,0,0,394
technology,egerrit,min,0,0,0,0,0,0,0,0,0,394
technology,egerrit,max,0,0,0,0,0,344,0,0,0,394
iot,iofog,avg,0,0,0,0,0,0,0,0,0,0
iot,iofog,min,0,0,0,0,0,0,0,0,0,0
iot,iofog,max,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,avg,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,min,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,max,0,0,0,0,0,0,0,0,0,0
technology,jnosql,avg,0,0,0,0,0,0,0,0,0,0
technology,jnosql,min,0,0,0,0,0,0,0,0,0,0
technology,jnosql,max,0,0,0,0,0,0,0,0,0,0
datatools,datatools,avg,0,0,0,0,0,0,0,0,0,0
datatools,datatools,min,0,0,0,0,0,0,0,0,0,0
datatools,datatools,max,0,0,0,0,0,0,0,0,0,0
rt,equinox,avg,205,91,245,127,276,292,0,152,0,13046
rt,equinox,min,0,0,0,0,0,0,0,0,0,13046
rt,equinox,max,1658,463,1658,711,928,1730,0,483,0,13046
tools,thym,avg,0,0,0,5,0,182,0,0,0,130
tools,thym,min,0,0,0,0,0,0,0,0,0,130
tools,thym,max,0,0,0,10,0,564,0,0,0,130
tools,mtj,avg,40,63,45,48,49,53,0,1,0,744
tools,mtj,min,0,0,0,0,0,0,0,1,0,744
tools,mtj,max,147,412,132,239,373,405,0,1,0,744
mylyn,mylyncontextmft,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontextmft,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontextmft,max,0,0,0,0,0,0,0,0,0,0
modeling,edapt,avg,0,418,0,472,491,497,0,0,0,125
modeling,edapt,min,0,0,0,0,14,0,0,0,0,125
modeling,edapt,max,0,1214,0,1011,1047,1065,0,0,0,125
iot,hawkbit,avg,0,0,0,0,0,0,0,0,0,0
iot,hawkbit,min,0,0,0,0,0,0,0,0,0,0
iot,hawkbit,max,0,0,0,0,0,0,0,0,0,0
modeling,fmc,avg,0,0,0,0,0,0,0,0,0,9
modeling,fmc,min,0,0,0,0,0,0,0,0,0,9
modeling,fmc,max,0,0,0,0,0,0,0,0,0,9
modeling,amalgam,avg,0,0,0,0,0,2,0,0,0,124
modeling,amalgam,min,0,0,0,0,0,0,0,0,0,124
modeling,amalgam,max,0,0,0,0,0,3,0,0,0,124
iot,ponte,avg,0,0,0,0,0,0,0,0,0,4
iot,ponte,min,0,0,0,0,0,0,0,0,0,4
iot,ponte,max,0,0,0,0,0,0,0,0,0,4
iot,tinydtls,avg,0,12,0,0,0,0,0,0,0,7
iot,tinydtls,min,0,12,0,0,0,0,0,0,0,7
iot,tinydtls,max,0,12,0,0,0,0,0,0,0,7
tools,ajdt,avg,273,622,0,95,45,184,0,38,0,1465
tools,ajdt,min,0,0,0,0,0,0,0,0,0,1465
tools,ajdt,max,524,2405,0,777,148,1069,0,148,0,1465
mylyn,mylyncontext,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontext,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontext,max,0,0,0,0,0,0,0,0,0,0
technology,ogee,avg,0,0,0,15,0,179,0,0,0,33
technology,ogee,min,0,0,0,0,0,0,0,0,0,33
technology,ogee,max,0,0,0,56,0,358,0,0,0,33
tools,buildship,avg,209,0,209,44,0,176,0,0,0,390
tools,buildship,min,0,0,0,0,0,0,0,0,0,390
tools,buildship,max,490,0,490,100,0,490,0,0,0,390
iot,kura,avg,0,0,0,0,0,22,0,0,0,46
iot,kura,min,0,0,0,0,0,0,0,0,0,46
iot,kura,max,0,0,0,0,0,43,0,0,0,46
modeling,mmt.atl,avg,50,0,0,96,12,234,0,0,0,271
modeling,mmt.atl,min,16,0,0,30,3,0,0,0,0,271
modeling,mmt.atl,max,87,0,0,161,20,729,0,0,0,271
modeling,sirius,avg,114,113,111,15,17,191,0,33,0,1595
modeling,sirius,min,0,0,0,0,0,0,0,1,0,1595
modeling,sirius,max,737,405,737,64,64,917,0,64,0,1595
technology,packagedrone,avg,0,0,0,0,0,0,0,0,0,0
technology,packagedrone,min,0,0,0,0,0,0,0,0,0,0
technology,packagedrone,max,0,0,0,0,0,0,0,0,0,0
technology,hudson,avg,456,119,189,88,260,126,0,1084,0,1423
technology,hudson,min,0,0,0,0,0,0,0,0,0,1423
technology,hudson,max,1013,305,742,295,1626,793,0,1626,0,1423
mylyn,mylynbuilds,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylynbuilds,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylynbuilds,max,0,0,0,0,0,0,0,0,0,0
science,chemclipse,avg,0,0,17,0,0,0,0,0,0,22
science,chemclipse,min,0,0,17,0,0,0,0,0,0,22
science,chemclipse,max,0,0,17,0,0,0,0,0,0,22
technology,camf,avg,0,0,0,0,0,0,0,0,0,12
technology,camf,min,0,0,0,0,0,0,0,0,0,12
technology,camf,max,0,0,0,0,0,0,0,0,0,12
modeling,gmfnotation,avg,0,0,0,0,0,0,0,0,0,0
modeling,gmfnotation,min,0,0,0,0,0,0,0,0,0,0
modeling,gmfnotation,max,0,0,0,0,0,0,0,0,0,0
tools,xtend,avg,64,126,68,146,155,168,0,106,0,2297
tools,xtend,min,0,7,0,0,0,0,0,0,0,2297
tools,xtend,max,232,240,232,1407,733,911,0,308,0,2297
technology,stem,avg,74,85,64,0,138,3,0,0,0,437
technology,stem,min,0,0,0,0,0,0,0,0,0,437
technology,stem,max,246,370,246,0,372,5,0,0,0,437
tools,targetmanagement,avg,0,0,0,0,0,0,0,0,0,0
tools,targetmanagement,min,0,0,0,0,0,0,0,0,0,0
tools,targetmanagement,max,0,0,0,0,0,0,0,0,0,0
technology,woolsey,avg,0,161,0,0,218,0,0,0,0,50
technology,woolsey,min,0,0,0,0,218,0,0,0,0,50
technology,woolsey,max,0,419,0,0,218,0,0,0,0,50
tools,tcf,avg,5,10,3,466,587,21,0,596,0,1144
tools,tcf,min,0,0,0,0,0,0,0,0,0,1144
tools,tcf,max,16,41,6,1161,1271,88,0,1271,0,1144
modeling,emft.facet,avg,9,219,9,190,273,102,0,0,0,828
modeling,emft.facet,min,0,0,0,0,0,0,0,0,0,828
modeling,emft.facet,max,25,975,25,946,546,442,0,0,0,828
webtools,wtpreleng,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpreleng,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpreleng,max,0,0,0,0,0,0,0,0,0,0
iot,paho,avg,71,0,71,0,41,0,0,0,0,143
iot,paho,min,0,0,0,0,2,0,0,0,0,143
iot,paho,max,206,0,206,0,80,0,0,0,0,143
technology,sw360,avg,0,0,0,0,0,0,0,0,0,0
technology,sw360,min,0,0,0,0,0,0,0,0,0,0
technology,sw360,max,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,max,0,0,0,0,0,0,0,0,0,0
modeling,etrice,avg,0,251,0,47,0,537,0,0,0,541
modeling,etrice,min,0,0,0,0,0,0,0,0,0,541
modeling,etrice,max,0,501,0,273,0,1588,0,0,0,541
mylyn,mylyndocsvex,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsvex,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsvex,max,0,0,0,0,0,0,0,0,0,0
iot,mihini,avg,0,44,0,0,0,22,0,0,0,121
iot,mihini,min,0,0,0,0,0,0,0,0,0,121
iot,mihini,max,0,139,0,0,0,63,0,0,0,121
technology,collections,avg,0,0,0,0,0,0,0,0,0,0
technology,collections,min,0,0,0,0,0,0,0,0,0,0
technology,collections,max,0,0,0,0,0,0,0,0,0,0
technology,cbi,avg,22,45,13,112,1686,162,0,1743,0,613
technology,cbi,min,0,0,0,3,0,0,0,3,0,613
technology,cbi,max,74,177,48,261,2415,627,0,2415,0,613
ecd,cft,avg,0,0,0,0,0,0,0,0,0,131
ecd,cft,min,0,0,0,0,0,0,0,0,0,131
ecd,cft,max,0,0,0,0,0,0,0,0,0,131
modeling,gmp,avg,136,12,0,6,33,6,0,6,0,245
modeling,gmp,min,1,0,0,0,0,0,0,0,0,245
modeling,gmp,max,311,29,0,15,167,20,0,15,0,245
iot,om2m,avg,0,0,0,7,0,0,0,0,0,44
iot,om2m,min,0,0,0,6,0,0,0,0,0,44
iot,om2m,max,0,0,0,8,0,0,0,0,0,44
tools,buckminster,avg,74,331,68,250,174,195,0,19,0,1261
tools,buckminster,min,0,0,0,0,0,0,0,0,0,1261
tools,buckminster,max,381,1465,381,838,684,1504,0,37,0,1261
rt,gemini.blueprint,avg,0,0,0,653,416,226,0,160,0,87
rt,gemini.blueprint,min,0,0,0,0,160,19,0,160,0,87
rt,gemini.blueprint,max,0,0,0,2058,805,651,0,160,0,87
rt,gemini.management,avg,0,0,0,115,0,0,0,0,0,49
rt,gemini.management,min,0,0,0,0,0,0,0,0,0,49
rt,gemini.management,max,0,0,0,211,0,0,0,0,0,49
rt,jetty,avg,61,66,34,62,120,82,0,0,0,3770
rt,jetty,min,0,0,0,0,0,0,0,0,0,3770
rt,jetty,max,260,246,205,315,668,462,0,0,0,3770
technology,mdmweb,avg,2,0,2,0,0,0,0,0,0,28
technology,mdmweb,min,0,0,0,0,0,0,0,0,0,28
technology,mdmweb,max,3,0,3,0,0,0,0,0,0,28
ecd,dirigible,avg,16,24,16,137,3,37,0,0,0,320
ecd,dirigible,min,0,0,0,0,0,0,0,0,0,320
ecd,dirigible,max,31,55,31,558,7,129,0,0,0,320
rt,gemini.web,avg,0,0,0,57,39,28,0,39,0,217
rt,gemini.web,min,0,0,0,8,0,0,0,0,0,217
rt,gemini.web,max,0,0,0,139,90,102,0,90,0,217
technology,skalli,avg,124,20,147,0,0,119,0,0,0,177
technology,skalli,min,0,0,0,0,0,0,0,0,0,177
technology,skalli,max,235,50,235,0,0,482,0,0,0,177
modeling,ocl,avg,1,80,1,76,392,161,0,392,0,1739
modeling,ocl,min,0,0,0,0,0,0,0,0,0,1739
modeling,ocl,max,2,434,2,245,2011,676,0,2011,0,1739
modeling,mdt.rmf,avg,124,121,154,0,21,253,0,0,0,347
modeling,mdt.rmf,min,0,0,0,0,21,0,0,0,0,347
modeling,mdt.rmf,max,545,545,545,0,21,1027,0,0,0,347
technology,dltk,avg,229,197,369,230,86,190,0,81,0,1121
technology,dltk,min,0,0,0,0,0,0,0,1,0,1121
technology,dltk,max,1160,594,1160,641,215,1160,0,215,0,1121
technology,gef3d,avg,3,0,3,0,0,0,0,0,0,120
technology,gef3d,min,2,0,2,0,0,0,0,0,0,120
technology,gef3d,max,3,0,3,0,0,0,0,0,0,120
iot,whiskers,avg,0,0,0,0,0,0,0,0,0,0
iot,whiskers,min,0,0,0,0,0,0,0,0,0,0
iot,whiskers,max,0,0,0,0,0,0,0,0,0,0
science,statet,avg,0,0,0,0,0,0,0,0,0,0
science,statet,min,0,0,0,0,0,0,0,0,0,0
science,statet,max,0,0,0,0,0,0,0,0,0,0
soa,stardust,avg,0,0,0,99,134,81,0,0,0,538
soa,stardust,min,0,0,0,0,0,0,0,0,0,538
soa,stardust,max,0,0,0,475,475,162,0,0,0,538
technology,m2ewtp,avg,0,0,0,0,0,0,0,0,0,0
technology,m2ewtp,min,0,0,0,0,0,0,0,0,0,0
technology,m2ewtp,max,0,0,0,0,0,0,0,0,0,0
tools,damos,avg,0,0,0,0,0,0,0,0,0,6
tools,damos,min,0,0,0,0,0,0,0,0,0,6
tools,damos,max,0,0,0,0,0,0,0,0,0,6
mylyn,mylynversions,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylynversions,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylynversions,max,0,0,0,0,0,0,0,0,0,0
technology,lsp4j,avg,0,0,0,0,0,0,0,0,0,1
technology,lsp4j,min,0,0,0,0,0,0,0,0,0,1
technology,lsp4j,max,0,0,0,0,0,0,0,0,0,1
eclipse,pde,avg,354,94,289,164,93,315,0,91,0,15737
eclipse,pde,min,0,0,0,0,0,0,0,0,0,15737
eclipse,pde,max,2565,1773,2489,661,657,2217,0,480,0,15737
technology,lsp4e,avg,3,32,3,0,4,4,0,0,0,60
technology,lsp4e,min,0,0,0,0,1,0,0,0,0,60
technology,lsp4e,max,6,63,6,0,6,9,0,0,0,60
rt,rap,avg,141,286,183,135,298,258,0,4,0,5011
rt,rap,min,0,0,0,0,0,0,0,0,0,5011
rt,rap,max,1261,1590,1261,1486,1842,1456,0,7,0,5011
modeling,mdt.bpmn2,avg,0,0,0,0,0,0,0,0,0,62
modeling,mdt.bpmn2,min,0,0,0,0,0,0,0,0,0,62
modeling,mdt.bpmn2,max,0,0,0,0,0,0,0,0,0,62
technology,openkplatform,avg,0,0,0,0,0,0,0,0,0,0
technology,openkplatform,min,0,0,0,0,0,0,0,0,0,0
technology,openkplatform,max,0,0,0,0,0,0,0,0,0,0
rt,gemini.naming,avg,0,0,0,0,126,0,0,126,0,26
rt,gemini.naming,min,0,0,0,0,51,0,0,51,0,26
rt,gemini.naming,max,0,0,0,0,234,0,0,234,0,26
technology,lyo,avg,66,4,72,48,7,151,0,0,0,881
technology,lyo,min,0,0,0,0,0,0,0,0,0,881
